dataset_name,file_path,category,file_name,has_error
DAppSCAN,DAppSCAN-main/DAppSCAN-source/contracts/QuillAudits-AAVE-ParaSwap Adapter/aave-protocol-v2-14e2ab47d95f42ec5ee486f367067e78a7588878/contracts/adapters/BaseParaSwapAdapter.sol,QuillAudits-AAVE-ParaSwap Adapter,BaseParaSwapAdapter.sol,True
DAppSCAN,DAppSCAN-main/DAppSCAN-source/contracts/ImmuneBytes-Pluteus-Final Audit Report/code/Pluteus (1).sol,ImmuneBytes-Pluteus-Final Audit Report,Pluteus (1).sol,True
DAppSCAN,DAppSCAN-main/DAppSCAN-source/contracts/QuillAudits-SushiSwap-BentoBox/bentobox-c2e150b16b8764ebfe2e1e6e267ae14e10738065/contracts/LendingPair.sol,QuillAudits-SushiSwap-BentoBox,LendingPair.sol,True
DAppSCAN,DAppSCAN-main/DAppSCAN-source/contracts/openzeppelin-Opyn_Contracts/Convexity-Protocol-Archived-c34598565cba2bfcf824eb2da63d95c7f5dda4fa/contracts/OptionsContract.sol,openzeppelin-Opyn_Contracts,OptionsContract.sol,True
DAppSCAN,DAppSCAN-main/DAppSCAN-source/contracts/PeckShield-Tranchessv1.0/contract-core-5ac3d997da3ef37b0135565a11c5ebcc519862aa/contracts/governance/LiquidityStaking.sol,PeckShield-Tranchessv1.0,LiquidityStaking.sol,True
DAppSCAN,DAppSCAN-main/DAppSCAN-source/contracts/Blockchain Labs NZ-BitHero/BitHeroToken-master/Crowdsale.sol,Blockchain Labs NZ-BitHero,Crowdsale.sol,True
DAppSCAN,DAppSCAN-main/DAppSCAN-source/contracts/Blockchain Labs NZ-BitHero/BitHeroToken-master/CrowdsaleBase.sol,Blockchain Labs NZ-BitHero,CrowdsaleBase.sol,True
DAppSCAN,DAppSCAN-main/DAppSCAN-source/contracts/Blockchain Labs NZ-BitHero/BitHeroToken-master/DefaultFinalizeAgent.sol,Blockchain Labs NZ-BitHero,DefaultFinalizeAgent.sol,True
DAppSCAN,DAppSCAN-main/DAppSCAN-source/contracts/Blockchain Labs NZ-BitHero/BitHeroToken-master/AllocatedCrowdsaleMixin.sol,Blockchain Labs NZ-BitHero,AllocatedCrowdsaleMixin.sol,True
DAppSCAN,DAppSCAN-main/DAppSCAN-source/contracts/Trail_of_Bits-livepeer/protocol-929182cc684410d55eb9048f47ed1ec3ab70461a/contracts/bonding/BondingManager.sol,Trail_of_Bits-livepeer,BondingManager.sol,True
DAppSCAN,DAppSCAN-main/DAppSCAN-source/contracts/consensys-Definer/defi-saving-880e9aaa883b4d9b68ed9ff3c47e9347345526cc/contracts/Accounts.sol,consensys-Definer,Accounts.sol,True
